fidanzare,fidanzarsi
svegliare,svegliarsi
lavare,lavarsi
pettinare,pettinarsi
sedere,sedersi
sentire,sentirsi
spogliare,spogliarsi
addormentare,addormentarsi
innamorare,innamorarsi
accomodare,accomodarsi
alzare,alzarsi
annoiare,annoiarsi
arrabbiare,arrabbiarsi
chiamare,chiamarsi
chiedere,chiedersi
divertire,divertirsi
fare,farsi
perdere,perdersi
preoccupare,preoccuparsi
ricordare,ricordarsi
sbrigare,sbrigarsi
vestire,vestirsi
accorgere,accorgersi
vergognare,vergognarsi
mettere,mettersi
pulire,pulirsi
voltare,voltarsi
fermare,fermarsi
riposare,riposarsi
leggere,leggersi
salutare,salutarsi
truccare,truccarsi
rilassare,rilassarsi
laurerare,laurerarsi
lamentare,lamentarsi
muovere,muoversi
trasferire,trasferirsi
incontrare,incontrarsi
vedere,vedersi
amare,amarsi
guidare,guidarsi
stancare,stancarsi
togliere,togliersi
abituare,abituarsi
buttare,buttarsi
bruciare,bruciarsi
calmare,calmarsi
fidare,fidarsi
lagnare,lagnarsi
rassegnare,rassegnarsi
rivolgere,rivolgersi
umiliare,umiliarsi
vantare,vantarsi
baciare,baciarsi
abbronzare,abbronzarsi
nascondere,nascondersi
sdraire,sdrairsi
trovare,trovarsi
prenotare,prenotarsi
dimenticare,dimenticarsi
diplomare,diplomarsi
bagnare,bagnarsi
asciugare,asciugarsi
aiutare,aiutarsi
conoscere,conoscersi
dare,darsi
odiare,odiarsi
telefonare,telefonarsi
scrivere,scriversi
accontentare,accontentarsi
cambiare,cambiarsi
presentare,presentarsi
rendere,rendersi
scordare,scordarsi
tagliare,tagliarsi
allenare,allenarsi
impiegare,impiegarsi
